装备名,itemid,物品品级,特殊修正+n
幻境意象强袭包头巾+2,51861,780,特殊修正+3
幻境意象强袭长袍+2,51862,780,特殊修正+3
幻境意象强袭护腕+2,51863,780,特殊修正+3
幻境意象强袭垮裤+2,51864,780,特殊修正+3
幻境意象强袭矮靴+2,51865,780,特殊修正+3
幻境意象强袭包头巾+3,51866,780,特殊修正+4
幻境意象强袭长袍+3,51867,780,特殊修正+4
幻境意象强袭护腕+3,51868,780,特殊修正+4
幻境意象强袭垮裤+3,51869,780,特殊修正+4
幻境意象强袭矮靴+3,51870,780,特殊修正+4
幻境意象精准包头巾,51871,780,特殊修正+1
幻境意象精准长袍,51872,780,特殊修正+1
幻境意象精准护腕,51873,780,特殊修正+1
幻境意象精准垮裤,51874,780,特殊修正+1
幻境意象精准矮靴,51875,780,特殊修正+1
幻境意象精准包头巾+1,51876,780,特殊修正+2
幻境意象精准长袍+1,51877,780,特殊修正+2
幻境意象精准护腕+1,51878,780,特殊修正+2
幻境意象精准垮裤+1,51879,780,特殊修正+2
幻境意象精准矮靴+1,51880,780,特殊修正+2
幻境意象精准包头巾+2,51881,780,特殊修正+3
幻境意象精准长袍+2,51882,780,特殊修正+3
幻境意象精准护腕+2,51883,780,特殊修正+3
幻境意象精准垮裤+2,51884,780,特殊修正+3
幻境意象精准矮靴+2,51885,780,特殊修正+3
幻境意象精准包头巾+3,51886,780,特殊修正+4
幻境意象精准长袍+3,51887,780,特殊修正+4
幻境意象精准护腕+3,51888,780,特殊修正+4
幻境意象精准垮裤+3,51889,780,特殊修正+4
幻境意象精准矮靴+3,51890,780,特殊修正+4
幻境意象游击包头巾,51891,780,特殊修正+1
幻境意象游击长袍,51892,780,特殊修正+1
幻境意象游击护腕,51893,780,特殊修正+1
幻境意象游击垮裤,51894,780,特殊修正+1
幻境意象游击矮靴,51895,780,特殊修正+1
幻境意象游击包头巾+1,51896,780,特殊修正+2
幻境意象游击长袍+1,51897,780,特殊修正+2
幻境意象游击护腕+1,51898,780,特殊修正+2
幻境意象游击垮裤+1,51899,780,特殊修正+2
幻境意象游击矮靴+1,51900,780,特殊修正+2
幻境意象游击包头巾+2,51901,780,特殊修正+3
幻境意象游击长袍+2,51902,780,特殊修正+3
幻境意象游击护腕+2,51903,780,特殊修正+3
幻境意象游击垮裤+2,51904,780,特殊修正+3
幻境意象游击矮靴+2,51905,780,特殊修正+3
幻境意象游击包头巾+3,51906,780,特殊修正+4
幻境意象游击长袍+3,51907,780,特殊修正+4
幻境意象游击护腕+3,51908,780,特殊修正+4
幻境意象游击垮裤+3,51909,780,特殊修正+4
幻境意象游击矮靴+3,51910,780,特殊修正+4
幻境意象治愈睡帽,51911,780,特殊修正+1
幻境意象治愈棉甲,51912,780,特殊修正+1
幻境意象治愈护腕,51913,780,特殊修正+1
幻境意象治愈垮裤,51914,780,特殊修正+1
幻境意象治愈法靴,51915,780,特殊修正+1
幻境意象治愈睡帽+1,51916,780,特殊修正+2
幻境意象治愈棉甲+1,51917,780,特殊修正+2
幻境意象治愈护腕+1,51918,780,特殊修正+2
幻境意象治愈垮裤+1,51919,780,特殊修正+2
幻境意象治愈法靴+1,51920,780,特殊修正+2
幻境意象治愈睡帽+2,51921,780,特殊修正+3
幻境意象治愈棉甲+2,51922,780,特殊修正+3
幻境意象治愈护腕+2,51923,780,特殊修正+3
幻境意象治愈垮裤+2,51924,780,特殊修正+3
幻境意象治愈法靴+2,51925,780,特殊修正+3
幻境意象治愈睡帽+3,51926,780,特殊修正+4
幻境意象治愈棉甲+3,51927,780,特殊修正+4
幻境意象治愈护腕+3,51928,780,特殊修正+4
幻境意象治愈垮裤+3,51929,780,特殊修正+4
幻境意象治愈法靴+3,51930,780,特殊修正+4
幻境意象咏咒睡帽,51931,780,特殊修正+1
幻境意象咏咒棉甲,51932,780,特殊修正+1
幻境意象咏咒护腕,51933,780,特殊修正+1
幻境意象咏咒垮裤,51934,780,特殊修正+1
幻境意象咏咒法靴,51935,780,特殊修正+1
幻境意象咏咒睡帽+1,51936,780,特殊修正+2
幻境意象咏咒棉甲+1,51937,780,特殊修正+2
幻境意象咏咒护腕+1,51938,780,特殊修正+2
幻境意象咏咒垮裤+1,51939,780,特殊修正+2
幻境意象咏咒法靴+1,51940,780,特殊修正+2
幻境意象咏咒睡帽+2,51941,780,特殊修正+3
幻境意象咏咒棉甲+2,51942,780,特殊修正+3
幻境意象咏咒护腕+2,51943,780,特殊修正+3
幻境意象咏咒垮裤+2,51944,780,特殊修正+3
幻境意象咏咒法靴+2,51945,780,特殊修正+3
幻境意象咏咒睡帽+3,51946,780,特殊修正+4
幻境意象咏咒棉甲+3,51947,780,特殊修正+4
幻境意象咏咒护腕+3,51948,780,特殊修正+4
幻境意象咏咒垮裤+3,51949,780,特殊修正+4
幻境意象咏咒法靴+3,51950,780,特殊修正+4
